G_A G_B K_A K_B TH_B_A TH_A_B N_B_A N_A_B FC_B_A FC_A_B
1 24.5097320252 64.6450797571 0.394013599671 0.520206385639 43.1772354262 43.0627116721 2 2 79.3548148976 72.9846931734
2 17.0325061629 42.4752690716 0.183662201039 0.310283315974 40.1717288855 37.3289241945 2 1 99.5272563868 52.5627451984
3 64.144644645 42.8782613285 0.623614940369 0.851913130271 36.2300540971 44.0416042336 3 3 81.7447773431 7.88573049495
4 18.7964725532 33.3645746672 0.795804313738 0.588928245959 38.0225564795 53.5804713159 3 4 48.9080159061 40.2057496906
5 85.6228824388 2.47751146468 0.717087417584 0.385769628356 42.8597764401 2.52203214927 4 4 49.5465688278 30.7952375513
6 47.8816026358 72.0456646533 0.143992781795 0.38151560245 7.71479883432 7.71559884682 5 3 13.5241330478 85.3172047476
7 13.2605773645 27.2602514443 0.457325716181 0.547757802967 11.803661744 37.0449972898 2 1 61.2493052383 28.6395442887
8 96.7920237115 7.54166482246 0.447081154124 0.979850038125 28.0304974982 31.7209940718 5 1 49.0925702484 52.0997139045
9 12.131544909 41.6125400468 0.439490063242 0.305150891097 14.6736491665 32.9111565051 1 4 52.8253234877 22.1346916318
10 47.8729440529 63.2773437801 0.375979426743 0.133177315611 19.7750202101 3.91831623209 2 2 80.402333941 10.6108446281
11 79.6606649942 29.9801991887 0.464268925021 0.489402502707 38.4911131213 30.1149746811 5 2 9.21521057359 65.9547184309
12 39.6425811349 33.5988579282 0.734878541026 0.658781272239 16.9255611414 46.5366828855 3 5 15.1829289943 82.5715333481
13 13.5891940885 56.3723304527 0.641807801756 0.951630352181 50.1287364417 5.71424379189 3 3 24.3209090389 3.77821340667
14 34.6894203905 34.6323711104 0.615351516345 0.775217072981 3.01208345154 22.3655735705 1 1 42.0463417644 53.7713289603
15 86.792549082 26.089469896 0.656661644981 0.34246828283 2.74242883577 41.7914159276 2 3 61.8019079265 56.2578737192
16 64.4609660903 88.633487263 0.654220482311 0.127551022677 22.5400478917 40.9459591408 3 3 88.6929610595 81.6396686562
17 85.5299920555 14.1344300285 0.559136370199 0.632740957898 18.6998055085 49.5703456324 5 2 57.4590219022 34.3841575906
18 53.8111420764 46.5769307277 0.941634649143 0.884575752176 7.99315501529 16.1450489704 4 5 76.0561041953 1.98947283812
19 31.0465370805 99.3105448099 0.169653117892 0.531587010416 14.1139066727 9.41789733003 5 2 59.9068369398 11.8527947891
20 64.2500385806 29.7699948313 0.521426532212 0.964368948079 48.3746345715 20.2010799279 1 1 2.84344511597 91.7728231371
21 72.1416666133 20.9089238648 0.775248492789 0.870722614114 44.534599134 31.9575009294 4 4 31.9390897939 70.0794555183
22 23.9101050705 19.5769577473 0.195766893829 0.441871340366 7.30739246313 16.2923884963 3 3 38.0765644747 31.1971388726
23 97.6207631599 95.046722421 0.70961964988 0.293884113753 48.398335771 44.4247822972 4 3 14.5312605199 47.4852985908
24 97.9395593606 62.4299016297 0.736874129478 0.93829174 49.2862416223 41.2386114559 3 3 16.2939036233 44.1909283289
25 11.5479549645 74.900040555 0.254916802132 0.860820737979 49.6095401592 45.9000109805 1 3 69.8990830645 79.9350085725
26 46.0964680489 97.2335912067 0.953592510206 0.260295525802 15.5614834954 7.9204759963 4 4 4.37993519453 82.4831118534
27 13.2765169413 7.75605013097 0.439264209598 0.509253098902 32.903464198 29.4804596476 5 2 35.2881040493 84.5897220323
28 38.4834044829 55.9041565527 0.381685074693 0.74349811929 53.1769583152 2.54498525728 2 5 99.3405393217 73.2003922262
29 31.1926412184 39.9577156372 0.197067390211 0.149775268947 3.85211088431 16.7602915954 4 3 48.827255523 91.3078706294
30 1.52030535565 31.664259951 0.816919075073 0.792083177974 8.8171080034 49.598710241 1 1 21.7512454645 15.2837657948
31 90.3590908202 49.6840407353 0.99028840996 0.769778749847 7.29446697705 40.9285489479 3 4 60.9320363846 61.5003191994
32 99.176787339 47.5032840357 0.967377732205 0.423204453151 31.1357001685 51.123240251 2 3 40.1074736996 84.5566279365
33 65.0828755765 35.9194606707 0.945272636532 0.681082364942 42.2494602329 4.22675512789 3 2 51.2615855765 34.8006913305
34 90.924837687 67.4837355127 0.792226632241 0.136789964983 17.416701726 17.4032618684 2 2 41.1981714106 32.8341750786
35 4.25088284104 1.71524875638 0.899938530426 0.868252705972 43.5862184875 40.2246010327 1 4 60.8495065949 46.3390084439
36 10.0075389339 92.0898279479 0.212795217224 0.672537171588 49.8170950041 14.4766336296 1 4 50.5157281183 51.0644709234
37 94.4431383459 86.4054474484 0.892194266278 0.146642106418 22.4433828452 42.1594487053 2 4 89.3851430265 83.3202049219
38 25.1364753562 95.3459783243 0.294790164902 0.689964877001 12.5980290528 48.7169275606 4 4 55.354192405 94.779716374
39 31.694624732 5.40581358779 0.761796886 0.201765784671 20.3560246601 14.506740688 5 1 99.6845464352 38.49586714
40 8.36234281101 76.9647372817 0.399165189938 0.876530201669 47.3171352098 15.352822198 4 5 50.6130100234 50.610707715
41 12.1847631557 16.0020910836 0.897198672251 0.478066549704 19.5005282891 18.4063557465 1 1 28.463584074 80.315549178
42 86.2434234291 14.1936494382 0.384811417784 0.442455447092 44.1365988564 41.0805785461 4 5 43.7804544316 45.6294021931
43 87.1795091917 99.8446419365 0.425340290779 0.674459146378 18.8076368884 12.1014655541 4 4 78.8323527711 62.2483506074
44 81.6006202877 54.3641337221 0.547101356956 0.70056051058 9.9942220935 37.460250511 1 4 15.2930650482 60.1430058141
45 57.2363336596 33.9983975955 0.798674921992 0.174440142845 34.3002103978 18.0727037429 2 1 32.9657092655 38.6731312288
46 85.1339127102 67.8110166291 0.168048806067 0.779807552303 21.3299336816 38.292946728 2 5 54.9649386154 16.6354698778
47 32.7475489029 71.720612347 0.164038688441 0.761245274657 21.2656933219 6.02708906671 4 3 69.7627884536 49.4690326857
48 86.9425615893 93.4458673818 0.470480759585 0.532583800578 37.9011099685 14.2281128014 5 2 26.7034456233 63.4391212315
49 80.1116673694 62.3376029888 0.447533267694 0.875403145319 4.79464654689 18.2299834348 3 1 10.3202525877 33.139342475
50 12.2209045547 14.6647007258 0.385621212284 0.587059678563 35.2430516739 17.1582932455 2 1 18.1212436314 70.0186367437
