G_A G_B K_A K_B TH_A_A TH_B_A TH_A_B N_A_A N_B_A N_A_B FC_A_A FC_B_A FC_A_B
1 79.1274432089 72.3162432649 0.984919443661 0.459609908505 18.5352161165 7.77446062836 12.2677388091 5 5 5 68.7695355481 41.3681680308 67.8502708963
2 79.3807659867 50.7267723931 0.326536545626 0.906559933913 15.7539597152 22.2405689826 6.34963905277 5 2 3 13.0352096714 93.7219718331 88.3965786932
3 82.898998139 2.54846093577 0.982212402274 0.383322293692 1.85427971139 52.4620769355 1.28907535401 3 3 5 15.1859621272 6.19854000657 2.85364886077
4 11.4366231515 17.6174916498 0.867710555838 0.799393330505 15.6739898103 6.26302744162 15.07476947 5 4 3 68.4211434299 51.5608615562 88.1009428247
5 28.5511434848 64.1285336912 0.551555205246 0.394129178338 1.03182003323 31.5551784301 11.1672410804 5 5 3 68.1834678149 84.4668989801 25.2172452683
6 13.7873434425 50.0503344993 0.849089852295 0.40334822036 7.75021953601 4.98863786925 12.2005055377 3 3 3 48.0902688861 41.8436205516 51.9249121618
7 61.6467778217 23.9666658956 0.440583022408 0.348467318851 8.16110245725 36.6046149334 14.6779382472 5 2 1 32.6801398869 50.0721096815 81.0167519072
8 30.6639563726 97.6713015954 0.39437896959 0.646763024663 17.983994033 36.7117152558 14.5447467696 3 4 3 25.452053596 18.9036960855 72.1622949383
9 83.1671426237 5.27288952123 0.666745602023 0.569607648693 11.2970519069 28.0285059539 8.97986307053 2 2 4 51.9154043718 9.65171398951 23.622958082
10 53.8847651779 51.0479133848 0.556863731228 0.50573779476 6.59197399892 14.6381687632 4.77663733623 4 5 2 76.4789657047 60.9249413246 28.5756089834
11 91.0222479895 76.6176182579 0.99770853014 0.199546439673 6.87630647607 46.9473547255 5.25382608986 5 1 4 2.31978205222 64.3869297938 54.3933661297
12 25.1108932702 66.7392334274 0.885668115301 0.575284403044 14.3534325926 15.0676264345 17.8577978665 1 4 4 8.47650088075 9.01135145693 22.5366313985
13 41.309106581 49.9525838967 0.105987877009 0.721933857762 3.67866464062 11.2085599801 18.4171576609 2 5 2 9.34589106787 54.9243904029 66.2917633067
14 83.1564249154 53.3786478298 0.925353115587 0.721311442908 16.1042840879 27.0404005318 14.1787811101 4 4 4 31.3028627151 20.1194572533 45.0284696403
15 13.4247586237 70.2674779303 0.752762547054 0.618214868316 3.44643850875 48.2825826077 1.15480502381 1 1 1 25.8939424916 95.3509474844 30.2359094149
16 19.4713317039 60.3434022544 0.51858654052 0.723698057969 12.568082272 35.6490337366 8.04153585733 5 4 2 86.8411891894 91.5709893924 7.54608702067
17 27.859587275 2.80114593887 0.25419405069 0.104456330184 16.628941745 30.518000237 14.3056616948 5 5 5 92.278046975 55.2732391306 82.7679144204
18 57.9726959083 28.2914948465 0.416756073871 0.974816059325 11.22995921 3.6031759915 8.7200711488 2 3 5 90.2907721608 97.2693807116 65.8858649015
19 35.9556820037 74.4641134032 0.594349320318 0.831255911291 8.52700003145 25.4777098908 5.48579819906 1 5 3 10.9813729935 45.7149270498 12.4432712094
20 69.8506195302 9.90546494765 0.186850877149 0.841268757652 18.0000268142 51.0084852928 7.86029242919 1 2 4 65.9879689322 1.389649237 66.9373608963
21 22.3983460546 31.9849523931 0.571345486061 0.536227226081 2.28618654987 49.4367679475 1.64419559862 5 1 1 25.2089933558 89.2540972778 80.8978981748
