G_A G_B K_A K_B TH_A_A TH_B_A TH_A_B N_A_A N_B_A N_A_B FC_A_A FC_B_A FC_A_B
1 41.6416851084 97.9293123202 0.210308306894 0.805876980969 14.9812266675 56.158015399 8.36247511932 2 1 2 51.2404005739 52.4603403682 73.7159151799
2 72.745439664 93.5508533666 0.702075683259 0.778976171514 11.1229896139 48.3539815268 3.91410153422 5 4 3 19.4517418297 79.0868443861 72.4124588316
3 4.676917965 90.4858023283 0.3631789765 0.857870697478 13.4296796591 15.3291085251 5.34433796905 1 1 2 65.360417117 7.15115857706 83.600144484
4 4.05969626714 23.2029976207 0.874419431565 0.539079331964 7.74686375486 31.653364431 16.8722988572 3 1 4 61.1555517152 65.8764625731 56.1219210436
5 24.2288298947 94.2504598518 0.452546792677 0.551475616888 7.83638989062 25.1338732509 8.88204327172 3 4 1 92.5475108118 36.2101578977 1.44831314269
6 82.7565849481 29.3366658916 0.401593629653 0.818429394077 3.78739378929 32.2585536245 14.6189726348 5 1 1 53.1951634531 4.27306740617 47.3439215659
7 35.4519849333 88.7816348957 0.872886601861 0.467445704479 14.9724753577 35.4391068113 13.5259346777 3 1 5 44.6257971042 65.8415509692 13.3526735985
8 76.7380588443 95.970515516 0.572017302182 0.127908328917 5.86645247801 46.5045983104 1.04754934326 1 1 2 13.8679828787 23.4974542528 2.76858067438
9 25.708294852 36.3846372989 0.289526466052 0.351968473826 8.61129071153 43.4216328589 10.4984608813 5 2 2 8.79223606042 44.7970114643 10.8042960472
10 40.8632550673 61.4592377167 0.998147952672 0.701083578475 16.1991786582 23.1409033048 2.2641741484 3 1 3 49.5779478674 82.0612367594 42.765045953
11 77.2593960279 67.6990743278 0.546220165968 0.573960889264 4.20538275402 41.1535969731 7.03099106924 2 3 5 24.9128182187 43.4418122843 88.5360829895
12 71.8489556926 92.853786236 0.122401509939 0.504013612114 17.3239670451 47.6522631242 0.455348079837 4 2 4 95.1903379046 84.2778544481 69.9465689614
13 27.6764920675 33.5875880949 0.803523598706 0.565471973827 9.32129581615 8.56560410165 5.72890770806 3 1 2 46.7880695408 4.63825956991 78.6399428271
14 5.8939232428 46.1604230579 0.509096602398 0.704539744507 2.14617775432 55.3185163523 16.4667610098 1 1 4 26.4638715333 77.3169888374 9.18413033319
15 87.8623394532 90.2809090236 0.232143142026 0.902178247668 12.2467657246 4.51541897152 10.5570501367 2 3 2 9.3878595494 83.2471311771 35.2989428382
16 77.0273922363 41.0365820544 0.804807667474 0.972492448352 4.93644768349 10.3974174096 10.4156651351 5 3 5 45.5219472856 99.9221182628 84.3385660023
17 43.0199184635 20.3750485192 0.70544439384 0.441977737977 5.06945616638 56.4743829775 6.23064658358 1 1 5 30.9935044259 77.4275500492 39.0765823557
18 28.9309570544 53.733639308 0.191320123425 0.308825848473 12.7934380603 38.793505725 11.3843770963 3 2 1 15.5568140165 40.8381472522 4.98628332576
19 23.1907017606 67.6186493024 0.833498979218 0.332054020538 6.79270530231 52.9707979948 10.9634484984 1 2 4 31.392078861 19.3164520686 3.19297482484
20 87.6534871206 40.3636582989 0.596712780308 0.951859004483 12.6257079076 45.1523719727 8.66371527599 3 1 4 57.3696250134 26.2274700118 57.657920078
21 77.3819167043 48.6298525011 0.876907984632 0.204387110016 6.88778569291 11.3446224153 2.88623940497 5 4 4 73.9090739975 60.3954599086 83.7964899456
22 31.3781406967 38.6836313419 0.294087738618 0.157888699203 1.20725511512 33.4330539464 12.8659758803 2 5 1 80.478828066 65.8266226992 42.0015059206
23 39.8509695865 86.3457944599 0.483671505144 0.446554743015 15.3762007135 49.1625627466 5.7308977063 1 2 2 89.3250524312 17.4658952133 97.8031053189
24 72.7373674692 46.7234513476 0.912357882963 0.250304508437 10.3702387779 38.3139845357 9.38541273103 5 4 2 19.1904020657 34.0315208901 4.05937389709
25 84.6733053199 63.8581536366 0.209593126553 0.285301278867 14.2173912756 35.9066081211 4.85467763811 4 5 3 5.35722606166 57.095626521 66.5211046021
26 19.9747033778 89.1703780213 0.100141783017 0.821148726621 15.6496616416 19.6715275222 5.63505002815 3 5 4 41.7388213272 75.5907990835 53.2491997009
27 94.2876067299 71.2012551617 0.270454982935 0.798222324174 6.14939986918 55.678197948 0.43822626749 2 2 5 35.1966343783 57.4232065112 64.2691393442
28 49.029104513 31.8427764611 0.57650619713 0.538563688779 10.4334848086 13.24574915 1.12857751635 3 2 5 40.3690943367 48.345491205 39.8657514975
29 26.5967104154 96.1439601079 0.843267780971 0.666373501499 7.18764991114 28.040260617 0.392957872133 2 5 5 75.3859087976 93.7576343328 91.6339787514
30 22.2102943973 15.4155374893 0.857985089306 0.613318824875 4.97472193434 2.47364001504 5.90103953395 5 5 2 78.3964697038 94.0296856833 23.627495583
31 99.9797527782 44.7541026935 0.447075596511 0.426025519381 13.9273881503 43.3339607168 13.02294527 1 4 4 23.8616904137 69.7677677146 25.0996445039
32 61.9885864401 7.12367544893 0.715327241797 0.110139192557 3.07857025152 12.7071930541 17.4175205836 5 5 3 37.2616111569 64.6056875553 84.1200268704
33 68.4366461331 60.0521003854 0.836760097373 0.722295379545 12.4429007165 51.2865632725 9.59597889326 5 5 1 17.6801525568 35.7106908102 67.9329446396
34 46.738025484 3.63389465905 0.538803581857 0.785786688011 12.4271851912 41.0898308338 2.82268031898 4 3 2 90.0998208729 84.3095613545 32.820032366
35 68.1831272803 98.7775552562 0.789761510108 0.528269663842 14.5191905133 12.4659196136 16.9417328393 2 5 4 33.6206946172 72.6206780879 28.6521725203
36 50.289796514 57.1419081202 0.38934573357 0.209589190771 3.9031778335 36.7810720325 11.5030473446 4 5 3 9.8388731696 86.9154753899 5.63089683428
37 85.8999577386 81.0798112159 0.500282186754 0.153136550699 14.1352824939 16.944796022 8.76470415051 5 4 5 20.4638169834 30.8537639202 90.4110030901
38 71.0387965132 44.445305429 0.503830943092 0.475002245208 9.26391156788 6.85451607197 9.13799380211 5 4 1 5.72830294489 15.8712060736 25.3726394733
39 16.1797393344 61.0697013177 0.56135375171 0.188949925029 2.11672240577 8.04092960387 12.5709222074 5 1 2 59.1126972554 58.2752344863 15.4134768405
40 82.6012713845 37.764876016 0.188725471574 0.177547339609 5.7770400105 37.9012968797 0.588408462335 4 1 2 93.0705199643 44.1143653852 37.9802487061
41 28.7285106705 9.48647681442 0.449538228178 0.626692951521 1.18513583296 35.81530755 4.35320843328 2 1 2 37.444563165 42.3435539223 33.5183095846
42 67.9388370417 34.9729050099 0.973963657908 0.184139240905 10.5819998791 26.5890580402 14.4014163315 4 5 5 74.3394760092 38.9890286058 84.3066155875
43 14.964208935 53.8539825934 0.301744687528 0.958545795811 1.71352818769 0.96706368037 14.3878722289 4 1 4 82.063624536 12.3411713172 7.4329081967
44 42.1077483555 38.0358291768 0.93009646383 0.283631564445 6.06965960922 35.0899238574 15.3501182265 3 4 4 85.2319652208 33.697946357 46.8381793838
45 20.9191876383 35.0379142573 0.725058277088 0.646570136109 4.51312031265 13.1040211289 2.24944593421 5 2 3 75.3543334955 52.8165487774 97.1820673715
46 81.5351863524 23.5350405182 0.489141643088 0.895467841506 16.2259649964 19.0981009236 10.289871717 5 4 1 41.3338121764 52.6845473144 73.3385976727
