G_A G_B K_A K_B TH_B_A TH_A_B N_B_A N_A_B FC_B_A FC_A_B
1 15.7720337894 88.0315269152 0.891026097999 0.849758437863 11.3517266597 24.6142941087 3 1 70.4548779982 51.7317571054
2 35.2848942282 18.5959534097 0.106754467005 0.1730678829 39.4365674659 15.975846286 4 5 13.2784068252 49.6638490238
3 71.9008055929 68.0633624681 0.766748325962 0.323702311253 17.2777084853 29.1212437364 1 4 84.3400898732 11.3209739167
4 13.0066895229 30.8696398002 0.114507120317 0.995674249946 46.3997179554 47.8784947477 5 1 36.2766336769 86.9249355778
5 29.1919844171 44.9308068019 0.287999074979 0.576182525802 53.2415466391 41.9311947019 1 5 75.0876801772 88.5169932024
6 74.2720290941 52.2273528103 0.186072894625 0.459666513173 21.3712727606 3.62952413875 5 5 91.6003927291 9.27242610192
7 44.2741659211 12.2556228018 0.343172072972 0.217127677578 29.3212120987 18.4146731333 1 3 61.4497486708 36.0601807008
8 77.4838254718 31.4811824655 0.445421963223 0.323187129488 34.6999840014 1.06487565687 5 5 31.1881291939 5.44381095712
9 68.3650426183 17.1943228002 0.565715475536 0.682009762377 47.1798145469 54.7884444495 1 1 92.9450180017 54.6274328227
10 85.4709922451 37.641588258 0.321546824733 0.987408124139 52.7061465338 47.5089426841 4 5 11.8053800902 75.2603813812
11 86.1088974496 79.7304731725 0.306177094479 0.675884175979 1.09570037988 24.172752785 1 2 10.4955400561 82.2133361774
12 24.9210176524 96.6944577553 0.584688100151 0.22826508091 3.68672340223 18.1647186304 2 5 85.0218830433 71.9291036131
13 3.34153972187 13.9569474545 0.195070605366 0.219294876349 42.0762924934 31.8290495723 3 5 19.5104991539 2.6763206277
14 52.6777164151 52.0804956927 0.68081764517 0.968480843833 30.0285846681 49.4505827559 2 2 84.9686057135 15.8904147574
15 98.6208544847 82.6647867302 0.947043832685 0.935380662912 16.5800011023 4.67330159487 5 3 99.3980937316 31.3996810745
16 62.7888474332 80.772462301 0.108889546082 0.931440066516 41.7878307205 34.2664866871 2 1 3.25204882686 52.2749313311
17 26.9963397292 16.7542360551 0.746999954172 0.300181969288 2.61610419015 14.1012641071 2 5 24.8793024394 24.0328322033
18 62.6842603916 39.5623989321 0.94857113188 0.7223647477 8.60769975449 28.6487575158 2 4 85.6872505381 74.0304579151
19 11.0959467067 95.1391673145 0.190814167324 0.381527486045 13.4690409679 37.1888597107 1 5 79.07467067 26.6687105137
20 45.9395037692 44.7617164063 0.688116311 0.81882747611 43.6335023388 14.9569413808 5 3 46.5642515778 22.021671515
21 8.45964019134 82.9656999899 0.313719442557 0.939825568809 35.6144869595 47.9457530498 3 3 29.7325645533 5.54492431949
22 29.3296014654 79.8384753383 0.724327367361 0.296747611564 11.3270417814 50.5066696338 2 4 1.80854860324 10.5915758368
23 72.8829664333 77.0943270272 0.75268196344 0.210891108725 20.4232135473 31.3514464145 3 3 21.8382876387 89.765703807
24 39.3098145713 75.5360571348 0.624942816084 0.875449207774 19.7809056885 13.6478308903 5 5 12.3443271219 6.15430484197
25 88.4461486964 37.9224833567 0.20359614799 0.627925495313 15.6011624751 22.0687512424 4 5 44.2813799149 37.7919588829
26 2.03927531406 35.584854002 0.83504676844 0.109651605229 7.75819351167 5.24797579008 1 1 77.3679981445 28.5119122922
27 25.1347635588 17.8496724476 0.78502344516 0.998406703194 5.88456850278 44.0609439232 3 3 39.2086494516 51.4626855841
28 95.1538230345 11.6026967105 0.664507015995 0.694514281709 31.1630258301 41.576000458 2 3 62.6623005083 27.4876030238
29 90.5127070115 91.7199864676 0.71173690523 0.567540762558 49.7131098959 27.9593375414 1 3 62.3067584606 55.2833489462
30 71.7942838252 7.97538897216 0.133842974097 0.497745896499 37.9749393171 14.0227977512 1 4 37.8996178024 80.4731226586
